spring_boot,initial_release,end_of_oss_support,end_of_commercial_support
3.4,2024-11-21,2025-11-21,2027-02-21
3.3,2024-05-23,2025-05-23,2026-08-23
3.2,2023-11-23,2024-11-23,2026-02-23
3.1,2023-05-18,2024-05-18,2025-08-18
3.0,2022-11-24,2023-11-24,2025-02-24
2.7,2022-05-19,2023-11-24,2026-12-31
2.6,2021-11-17,2022-11-24,2024-02-24
2.5,2021-05-20,2022-05-19,2023-08-24
2.4,2020-11-12,2021-11-18,2023-02-23
2.3,2020-05-15,2021-05-20,2022-08-20
2.2,2019-10-16,2020-10-16,2022-01-16
2.1,2018-10-30,2019-10-30,2021-01-30
2.0,2018-03-01,2019-03-01,2020-06-01
1.5,2017-01-30,2019-08-06,2020-11-06
