line,neo4j_java_driver,release_date,supported,neo4j_versions,minimum_java_version
5.x,5.28.2,2025-03-03,true,"[4.4, 5.x]",17
5.x,5.28.1,2025-02-05,false,"[4.4, 5.x]",17
5.x,5.28.0,2025-02-05,false,"[4.4, 5.x]",17
5.x,5.27.0,2024-11-28,false,"[4.4, 5.x]",17
5.x,5.26.3,2024-11-12,false,"[4.4, 5.x]",17
5.x,5.26.2,2024-11-11,false,"[4.4, 5.x]",17
5.x,5.26.1,2024-10-30,false,"[4.4, 5.x]",17
5.x,5.26.0,2024-10-14,false,"[4.4, 5.x]",17
5.x,5.25.0,2024-09-26,false,"[4.4, 5.x]",17
5.x,5.24.0,2024-08-29,false,"[4.4, 5.x]",17
5.x,5.23.0,2024-07-25,false,"[4.4, 5.x]",17
5.x,5.22.0,2024-06-27,false,"[4.4, 5.x]",17
5.x,5.21.0,2024-05-30,false,"[4.4, 5.x]",17
5.x,5.20.0,2024-04-25,false,"[4.4, 5.x]",17
5.x,5.19.0,2024-04-02,false,"[4.4, 5.x]",17
5.x,5.18.0,2024-03-01,false,"[4.4, 5.x]",17
5.x,5.17.0,2024-01-29,false,"[4.4, 5.x]",17
5.x,5.16.0,2024-01-05,false,"[4.4, 5.x]",17
5.x,5.15.0,2023-11-27,false,"[4.4, 5.x]",17
5.x,5.14.0,2023-10-25,false,"[4.4, 5.x]",17
5.x,5.13.0,2023-10-05,false,"[4.4, 5.x]",17
5.x,5.12.0,2023-08-31,false,"[4.4, 5.x]",17
5.x,5.11.0,2023-07-26,false,"[4.4, 5.x]",17
5.x,5.10.0,2023-06-29,false,"[4.4, 5.x]",17
5.x,5.9.0,2023-05-28,false,"[4.4, 5.x]",17
5.x,5.8.0,2023-04-27,false,"[4.4, 5.x]",17
5.x,5.7.0,2023-03-31,false,"[4.4, 5.x]",17
5.x,5.6.0,2023-02-24,false,"[4.4, 5.x]",17
5.x,5.5.0,2023-01-27,false,"[4.4, 5.x]",17
5.x,5.4.0,2023-01-09,false,"[4.4, 5.x]",17
5.x,5.3.1,2022-12-20,false,"[4.4, 5.x]",17
5.x,5.3.0,2022-11-25,false,"[4.4, 5.x]",17
5.x,5.2.0,2022-10-28,false,"[4.4, 5.x]",17
5.x,5.1.0,2022-10-05,false,"[4.4, 5.x]",17
5.x,5.0.0,2022-09-09,false,"[4.4, 5.x]",17
4.4,4.4.20,2025-03-03,true,"[3.5, 4.0, 4.1, 4.2, 4.3, 4.4, 5.x]",8
4.4,4.4.19,2024-11-29,false,"[3.5, 4.0, 4.1, 4.2, 4.3, 4.4, 5.x]",8
