line,neo4j,release_date,end_of_support
5.x,5.24,2024-09-27,
5.x,5.23,2024-08-22,2024-09-27
5.x,5.22,2024-07-24,2024-08-22
5.x,5.21,2024-06-28,2024-07-24
5.x,5.20,2024-05-23,2024-06-28
5.x,5.19,2024-04-12,2024-05-23
5.x,5.18,2024-03-13,2024-04-12
5.x,5.17,2024-02-23,2024-03-13
5.x,5.16,2024-01-22,2024-02-23
5.x,5.15,2023-12-15,2024-01-22
5.x,5.14,2023-11-24,2023-12-15
5.x,5.13,2023-10-23,2023-11-24
5.x,5.12,2023-09-15,2023-10-23
5.x,5.11,2023-08-14,2023-09-15
5.x,5.10,2023-07-19,2023-08-14
5.x,5.9,2023-06-15,2023-07-19
5.x,5.8,2023-05-16,2023-06-15
5.x,5.7,2023-04-20,2023-05-16
5.x,5.6,2023-03-24,2023-04-20
5.x,5.5,2023-02-16,2023-03-24
5.x,5.4,2023-01-26,2023-02-16
5.x,5.3,2022-12-15,2023-01-26
5.x,5.2,2022-11-21,2022-12-15
5.x,5.1,2022-10-24,2022-11-21
5.x,5.0,2022-10-06,2022-10-24
4.4,4.4,2021-12-02,2025-11-30
4.3,4.3,2021-06-17,2022-12-16
4.2,4.2,2020-11-17,2022-05-16
4.1,4.1,2020-06-23,2021-12-22
4.0,4.0,2020-01-15,2021-07-14
3.5,3.5,2018-11-29,2022-05-27
3.4,3.4,2018-05-17,2020-03-31
3.3,3.3,2017-10-24,2019-04-28
3.2,3.2,2017-05-11,2018-11-30
3.1,3.1,2016-12-13,2018-06-13
3.0,3.0,2016-04-16,2017-10-31
2.3,2.3,2015-10-21,2017-04-21
2.2,2.2,2015-03-25,2016-09-25
2.1,2.1,2014-05-29,2015-11-29
2.0,2.0,2013-12-11,2015-06-11
1.9,1.9,2013-05-21,2014-11-21
1.8,1.8,2012-09-28,2014-03-28
1.7,1.7,2012-04-18,2013-10-18
1.6,1.6,2012-01-22,2013-07-22
1.5,1.5,2011-11-09,2013-03-09
1.4,1.4,2011-07-08,2013-01-08
1.3,1.3,2011-04-12,2012-09-12
1.2,1.2,2010-12-29,2012-06-29
1.1,1.1,2010-07-30,2012-01-30
1.0,1.0,2010-02-23,2011-08-23
