spring_boot,spring_data_neo4j,neo4j_ogm,neo4j_java_driver,minimum_java_version,release_date,end_of_oss_support,end_of_commercial_support
3.4.3,7.4.3,,5.28.1,17,2025-02-20,2025-11-21,2027-02-21
3.4.2,7.4.2,,5.25.0,17,2025-01-23,2025-02-20,2025-02-20
3.4.1,7.4.1,,5.25.0,17,2024-12-19,2025-01-23,2025-01-23
3.4.0,7.4.0,,5.25.0,17,2024-11-21,2024-12-19,2024-12-19
3.3.9,7.3.9,,5.25.0,17,2025-02-20,2025-05-23,2026-08-23
3.3.8,7.3.8,,5.25.0,17,2025-01-23,2025-02-20,2025-02-20
3.3.7,7.3.7,,5.25.0,17,2024-12-19,2025-01-23,2025-01-23
3.3.6,7.3.6,,5.25.0,17,2024-11-21,2024-12-19,2024-12-19
3.3.5,7.3.5,,5.25.0,17,2024-10-24,2024-11-21,2024-11-21
3.3.4,7.3.4,,5.23.0,17,2024-09-19,2024-10-24,2024-10-24
3.3.3,7.3.3,,5.23.0,17,2024-08-22,2024-09-19,2024-09-19
3.3.2,7.3.2,,5.22.0,17,2024-07-18,2024-08-22,2024-08-22
3.3.1,7.3.1,,5.21.0,17,2024-06-20,2024-07-18,2024-07-18
3.3.0,7.3.0,,5.20.0,17,2024-05-23,2024-06-20,2024-06-20
3.2.12,7.2.12,,5.25.0,17,2024-11-21,2024-11-23,2026-02-23
3.2.11,7.2.11,,5.25.0,17,2024-10-24,2024-11-21,2024-11-21
3.2.10,7.2.10,,5.23.0,17,2024-09-19,2024-10-24,2024-10-24
3.2.9,7.2.9,,5.23.0,17,2024-08-22,2024-09-19,2024-09-19
3.2.8,7.2.8,,5.22.0,17,2024-07-18,2024-08-22,2024-08-22
3.2.7,7.2.7,,5.21.0,17,2024-06-20,2024-07-18,2024-07-18
3.2.6,7.2.6,,5.20.0,17,2024-05-23,2024-06-20,2024-06-20
3.2.5,7.2.5,,5.19.0,17,2024-04-18,2024-05-23,2024-05-23
3.2.4,7.2.4,,5.18.0,17,2024-03-21,2024-04-18,2024-04-18
3.2.3,7.2.3,,5.17.0,17,2024-02-22,2024-03-21,2024-03-21
3.2.2,7.2.2,,5.15.0,17,2024-01-19,2024-02-22,2024-02-22
3.2.1,7.2.1,,5.13.0,17,2023-12-21,2024-01-19,2024-01-19
3.2.0,7.2.0,,5.13.0,17,2023-11-23,2023-12-21,2023-12-21
3.1.12,7.1.12,,5.20.0,17,2024-05-23,2024-05-18,2025-08-18
3.1.11,7.1.11,,5.19.0,17,2024-04-18,2024-05-18,2024-05-23
3.1.10,7.1.10,,5.18.0,17,2024-03-21,2024-04-18,2024-04-18
3.1.9,7.1.9,,5.17.0,17,2024-02-22,2024-03-21,2024-03-21
3.1.8,7.1.8,,5.15.0,17,2024-01-19,2024-02-22,2024-02-22
3.1.7,7.1.7,,5.13.0,17,2023-12-21,2024-01-19,2024-01-19
3.1.6,7.1.6,,5.13.0,17,2023-11-23,2023-12-21,2023-12-21
3.1.5,7.1.5,,5.13.0,17,2023-10-19,2023-11-23,2023-11-23
3.1.4,7.1.4,,5.12.0,17,2023-09-21,2023-10-19,2023-10-19
3.1.3,7.1.3,,5.11.0,17,2023-08-24,2023-09-21,2023-09-21
3.1.2,7.1.2,,5.9.0,17,2023-07-20,2023-08-24,2023-08-24
3.1.1,7.1.1,,5.9.0,17,2023-06-22,2023-07-20,2023-07-20
3.1.0,7.1.0,,5.8.0,17,2023-05-18,2023-06-22,2023-06-22
3.0.13,7.0.12,,5.13.0,17,2023-11-23,2023-11-24,2025-02-24
3.0.12,7.0.11,,5.13.0,17,2023-10-19,2023-11-23,2023-11-23
3.0.11,7.0.10,,5.12.0,17,2023-09-21,2023-10-19,2023-10-19
3.0.10,7.0.9,,5.11.0,17,2023-08-24,2023-09-21,2023-09-21
3.0.9,7.0.8,,5.9.0,17,2023-07-20,2023-08-24,2023-08-24
3.0.8,7.0.7,,5.9.0,17,2023-06-22,2023-07-20,2023-07-20
3.0.7,7.0.6,,5.8.0,17,2023-05-18,2023-06-22,2023-06-22
3.0.6,7.0.5,,5.7.0,17,2023-04-20,2023-05-18,2023-05-18
3.0.5,7.0.4,,5.4.0,17,2023-03-23,2023-04-20,2023-04-20
3.0.4,7.0.3,,5.4.0,17,2023-03-03,2023-03-23,2023-03-23
